ID	Description	Filename
1	Battery	Battery.png
2	Box	Box.png
3	Calendar	Calendar.png
4	Camera	Camera.png
5	Check	Check.png
6	Clipboard	Clipboard.png
7	Clock	Clock.png
8	CPU	CPU.png
9	Find	Find.png
10	Folder	Folder.png
11	Gear	Gear.png
12	Help	Help.png
13	History	History.png
14	Laptop	Laptop.png
15	Light	Light.png
16	Love	Love.png
17	Men	Men.png
18	Money	Money.png
19	Movie	Movie.png
20	Plus	Plus.png
21	Redo	Redo.png
22	Remove	Remove.png
23	Signpost	Signpost.png
24	Sound	Sound.png
25	Star	Star.png
26	Stop	Stop.png
27	Tags	Tags.png
28	Trash	Trash.png
29	Undo	Undo.png
30	Woman	Woman.png
31	Wrench	Wrench.png
